x_axis,y_axis,z_axis
1139,298,-54.986
1120,390,-57.1
1125,218,-53.672
1199,266,-51.866
1133,379,-57.128
1082,278,-49.938
1190,598,-55.491
1072,572,-49.161
1166,542,-56.803
1139,536,-57.353
1171,563,-56.596
1082,497,-51.362
1130,677,-56.919
1071,631,-49.635
1118,751,-56.184
1066,682,-48.597
1087,649,-54.528
1176,745,-56.979
1131,924,-55.274
1073,869,-48.973
1152,816,-56.757
1076,944,-49.624
1111,998,-55.327
1104,894,-54.566
1314,-852,-43.252
1244,-972,-48.506
1260,-917,-46.633
1252,-893,-47.642
1332,-966,-39.919
1238,-853,-49.47
1220,-713,-51.273
1288,-659,-45.607
1344,-655,-36.632
1307,-769,-43.814
1299,-723,-45.323
1228,-730,-50.529
1223,-573,-50.92
1280,-500,-45.189
1345,-493,-34.846
1287,-430,-43.701
1316,-581,-43.46
1297,-410,-43.112
1241,-374,-47.613
1347,-378,-33.444
1278,-251,-43.474
1260,-320,-45.667
1225,-207,-49.708
1258,-248,-45.856
1270,-23,-43.873
1315,-81,-40.211
1302,-115,-42.064
1214,-135,-49.225
1266,-83,-42.644
1275,-172,-44.843
1274,189,-43.659
1322,44,-40.758
1333,163,-37.916
1266,110,-44.62
1237,143,-48.048
1257,12,-46.058
1292,252,-42.712
1283,212,-43.789
1302,381,-44.394
1315,298,-41.757
1272,277,-43.718
1250,390,-48.428
1313,434,-42.64
1303,561,-43.275
1281,453,-45.337
1276,548,-43.937
1235,469,-50.717
1330,555,-38.993
1349,666,-35.57
1333,731,-38.954
1322,751,-41.46
1319,713,-41.918
1272,673,-45.001
1218,632,-51.575
1295,912,-43.534
1340,942,-36.633
1286,832,-45.059
1228,884,-49.242
1315,958,-42.379
1248,970,-46.282
1466,-807,-27.769
1490,-947,-27.624
1388,-866,-29.129
1367,-824,-31.326
1401,-919,-28.508
1481,-906,-28.268
1436,-791,-26.961
1415,-689,-28.708
1470,-626,-27.087
1382,-752,-28.49
1408,-740,-26.475
1364,-666,-31.902
1499,-403,-24.818
1494,-537,-25.029
1363,-494,-30.569
1399,-441,-26.095
1375,-424,-27.468
1477,-522,-24.818
1395,-204,-26.814
1484,-378,-24.937
1376,-307,-28.127
1418,-371,-25.307
1430,-353,-25.166
1404,-265,-25.967
1424,-27,-26.4
1433,-91,-26.17
1453,-142,-26.374
1448,-166,-26.378
1496,-112,-24.948
1390,-134,-27.957
1359,185,-31.566
1361,8,-31.527
1361,73,-31.438
1469,99,-27.096
1489,18,-26.479
1432,25,-25.816
1408,392,-25.774
1463,288,-24.721
1388,247,-28.012
1398,342,-25.297
1378,315,-26.995
1446,243,-26.188
1493,528,-28.52
1435,523,-27.544
1384,536,-28.042
1438,543,-27.662
1387,589,-28.308
1472,500,-28.18
1427,679,-27.426
1476,662,-28.482
1470,614,-27.512
1377,727,-29.061
1365,682,-32.198
1461,629,-26.968
1442,965,-27.129
1496,936,-27.742
1411,976,-27.79
1409,909,-28.57
1426,891,-27.881
1475,882,-27.383
1632,-921,-26.268
1608,-977,-26.129
1533,-897,-27.437
1544,-802,-26.347
1513,-936,-28.103
