x_axis,y_axis,z_axis
372,192,-0.409800194346996
321,160,0.607993713807569
349,390,1.14639817469794
399,327,-1.63048173135642
444,527,-4.51817793837025
339,539,-0.63959410094103
326,557,-1.03573298343042
401,273,-2.27877312368762
405,570,-2.16238566292748
447,394,-3.69038449489748
377,528,-1.67500765883816
441,653,-3.80952421153195
363,973,-0.164167665035108
394,705,-1.16043542697454
368,749,-0.465242117095255
341,860,-0.747478620865723
399,856,-1.4681101255002
378,628,-1.13756984132564
431,774,-3.20683329051037
312,929,-0.822074103449109
416,1306,-2.69854328813864
334,1158,-0.767746066535734
348,1380,-1.58110027924259
344,1011,-0.733692711270298
367,1019,-0.927575641696639
405,1323,-2.07831165917927
397,1251,-1.95637415707823
339,1035,-0.817797148741643
317,1212,-1.15055834002773
598,-1126,-9.81835181123369
521,-1249,-6.89201923526998
584,-1278,-9.84857299552555
577,-1016,-12.3859913057775
590,-1379,-11.7961947749059
556,-1145,-8.25963471284091
459,-1324,-1.61064130250952
546,-1241,-8.42944099092463
567,-1329,-10.749254042429
530,-803,-11.0383730047169
504,-768,-9.29754017116137
472,-915,-5.12587692752046
561,-828,-11.8798676592799
583,-917,-11.8426692834636
488,-710,-7.73217646601499
506,-981,-8.02914185171065
519,-855,-10.213224272943
572,-726,-12.1193890958088
508,-467,-10.5825856208632
561,-230,-14.2159784875809
595,-508,-13.2089646458524
506,-218,-11.3615578099531
495,-366,-9.14365190848238
514,-358,-11.4139440248272
471,-407,-5.75542783644707
546,-243,-13.4531770285709
566,-542,-12.7001081091721
540,-36,-12.7457311441729
582,-10,-12.7806522300425
549,181,-12.0282010498841
568,148,-12.2164866198972
519,68,-11.1553691736067
595,-191,-14.3023439476266
500,-72,-10.5685767524507
463,-151,-5.87773232039271
489,-186,-9.33806358639783
557,451,-12.6752049106826
514,215,-9.95526298636494
482,479,-7.43808459670578
483,229,-7.37748796203525
542,319,-12.4016589494335
470,259,-6.04735971230007
600,546,-13.6389496426724
477,463,-7.02920208169434
517,338,-10.9792207585194
472,836,-6.0604441018697
463,730,-6.62581177634989
578,679,-13.2174165190978
511,874,-9.44933754356048
486,747,-9.33247045729826
477,947,-6.99172856508351
596,798,-14.1945109695186
538,946,-11.8428327699281
585,715,-13.2794705342024
591,1210,-15.1234293926082
564,1311,-13.9407523076585
559,1229,-14.4971485275289
567,1359,-12.7715131265588
493,1389,-9.36609272228627
481,1036,-7.44451873597646
600,1016,-12.9283691627149
487,1260,-9.67396358731123
565,1135,-14.566738443848
676,-1376,-12.0269488905288
715,-1133,-17.8785212681026
737,-1099,-24.2804634682488
636,-1364,-12.3432087627166
642,-1296,-11.9305783381712
694,-1303,-14.6763455948974
726,-1066,-20.9502900453916
733,-1035,-22.6869656718011
617,-1191,-10.7234301356518
726,-697,-20.8574860596893
739,-885,-23.4240510118848
717,-653,-18.9596335039735
677,-719,-13.0070171929727
662,-903,-12.7467553357191
720,-764,-16.6877703350065
703,-955,-15.9706704672511
742,-811,-23.483522625783
654,-991,-12.8368253182508
628,-255,-15.8902348032482
704,-546,-16.4199813107102
655,-338,-14.275178962114
631,-273,-15.7824028463039
723,-378,-21.4577543969531
647,-486,-13.8548071319341
619,-321,-14.1642098420629
638,-290,-15.2847344792717
637,-437,-12.5114096932581
629,-78,-13.6057855122968
667,73,-14.53498358076
675,194,-14.7506234994991
733,13,-23.395808981793
646,-71,-13.9751200999191
619,-91,-13.589215137011
638,56,-13.5901288807726
747,-63,-29.1777351238659
745,-45,-28.2708821762763
646,331,-14.9965222096235
617,319,-14.1398633388279
711,448,-19.8169194085203
692,228,-15.9365654988843
624,267,-14.5228182345462
708,270,-17.529912571183
639,539,-14.5515449016684
689,300,-16.0098833168619
609,219,-14.1634455563622
677,681,-15.3607853280563
616,720,-14.0623726516225
630,909,-13.6435657555356
734,827,-22.226792448966
655,771,-13.5097675731779
639,758,-13.3997088435826
612,839,-14.3969473767466
642,955,-13.3846887229895
729,843,-21.0363374046117
668,1088,-13.8034139545283
728,1277,-20.8883325940746
612,1287,-15.0518187576511
613,1235,-15.2974099135502
640,1149,-13.4279354266776
674,1022,-13.7480467753525
747,1266,-26.4670468089653
647,1092,-13.1926502777794
645,1207,-14.794300441107
871,-1045,-37.0261655715191
840,-1220,-37.7280895093751
781,-1114,-34.7361264056053
853,-1207,-38.1615098272995
899,-1065,-37.0302469946404
761,-1238,-29.8722409235369
841,-1195,-37.8850065616921
869,-1278,-39.4428880828199
794,-1172,-36.0352786104008
810,-630,-39.0974509687135
831,-773,-37.1633353461259
827,-631,-39.569041630364
844,-890,-37.4902668454804
763,-758,-29.3060519150354
883,-976,-37.2399759733795
859,-967,-37.2205044383901
856,-672,-38.4619210775246
788,-867,-34.8740751602396
886,-335,-39.6255014845882
838,-554,-37.5466896389573
817,-223,-39.5608541105813
794,-519,-36.1512475234551
878,-477,-38.5756454914487
812,-513,-37.0634738602114
842,-346,-39.1529754448306
813,-487,-37.299975368955
827,-308,-39.0739945999476
767,146,-33.1647701912434
